"cntr","religious","Age","Gender","Education","SES","Country","Source","Trust"
1,1,69,2,3,0.5,"US","t_scientists",1
1,1,69,2,3,0.5,"US","t_tradHealers",0.666666666666667
1,1,63,1,2,1,"US","t_scientists",0.333333333333333
1,1,63,1,2,1,"US","t_tradHealers",0.666666666666667
1,1,57,2,2,1,"US","t_scientists",0.666666666666667
1,1,57,2,2,1,"US","t_tradHealers",0.333333333333333
1,1,74,2,2,0,"US","t_scientists",0.666666666666667
1,1,74,2,2,0,"US","t_tradHealers",0.666666666666667
1,1,70,1,2,1,"US","t_scientists",0.666666666666667
1,1,70,1,2,1,"US","t_tradHealers",NA
1,1,64,2,3,1,"US","t_scientists",1
1,1,64,2,3,1,"US","t_tradHealers",0.666666666666667
1,1,78,2,2,1,"US","t_scientists",0.333333333333333
1,1,78,2,2,1,"US","t_tradHealers",0.333333333333333
1,1,19,1,2,1,"US","t_scientists",0.666666666666667
1,1,19,1,2,1,"US","t_tradHealers",0
1,1,58,2,2,0,"US","t_scientists",0.666666666666667
1,1,58,2,2,0,"US","t_tradHealers",1
1,1,79,2,2,1,"US","t_scientists",1
1,1,79,2,2,1,"US","t_tradHealers",0.666666666666667
1,1,53,2,2,0,"US","t_scientists",0.666666666666667
1,1,53,2,2,0,"US","t_tradHealers",0.666666666666667
1,1,57,1,3,NA,"US","t_scientists",0.666666666666667
1,1,57,1,3,NA,"US","t_tradHealers",0.666666666666667
1,1,61,1,3,1,"US","t_scientists",1
1,1,61,1,3,1,"US","t_tradHealers",0.666666666666667
1,1,53,1,2,NA,"US","t_scientists",0
1,1,53,1,2,NA,"US","t_tradHealers",NA
1,1,38,1,2,0.5,"US","t_scientists",0.666666666666667
1,1,38,1,2,0.5,"US","t_tradHealers",0.666666666666667
1,1,55,1,2,1,"US","t_scientists",1
1,1,55,1,2,1,"US","t_tradHealers",1
1,1,28,1,2,1,"US","t_scientists",NA
1,1,28,1,2,1,"US","t_tradHealers",0.333333333333333
1,1,47,2,3,1,"US","t_scientists",0.666666666666667
1,1,47,2,3,1,"US","t_tradHealers",NA
1,0,57,2,3,1,"US","t_scientists",1
1,0,57,2,3,1,"US","t_tradHealers",0.333333333333333
1,NA,18,1,NA,NA,"US","t_scientists",1
1,NA,18,1,NA,NA,"US","t_tradHealers",NA
1,1,75,1,3,1,"US","t_scientists",1
1,1,75,1,3,1,"US","t_tradHealers",0.333333333333333
1,1,60,1,1,0,"US","t_scientists",0
1,1,60,1,1,0,"US","t_tradHealers",0
1,1,63,1,3,1,"US","t_scientists",1
1,1,63,1,3,1,"US","t_tradHealers",0.666666666666667
1,1,20,1,2,0,"US","t_scientists",1
1,1,20,1,2,0,"US","t_tradHealers",NA
1,0,35,1,2,0,"US","t_scientists",0.666666666666667
1,0,35,1,2,0,"US","t_tradHealers",0.666666666666667
1,1,38,2,3,1,"US","t_scientists",NA
1,1,38,2,3,1,"US","t_tradHealers",NA
1,1,27,1,2,0.5,"US","t_scientists",1
1,1,27,1,2,0.5,"US","t_tradHealers",1
1,NA,21,1,2,1,"US","t_scientists",1
1,NA,21,1,2,1,"US","t_tradHealers",0
1,1,50,1,3,1,"US","t_scientists",1
1,1,50,1,3,1,"US","t_tradHealers",NA
1,1,58,1,2,1,"US","t_scientists",0.333333333333333
1,1,58,1,2,1,"US","t_tradHealers",NA
1,0,24,1,2,0.5,"US","t_scientists",1
1,0,24,1,2,0.5,"US","t_tradHealers",0.666666666666667
1,1,63,1,3,1,"US","t_scientists",1
1,1,63,1,3,1,"US","t_tradHealers",0.333333333333333
1,1,71,1,3,0.5,"US","t_scientists",0.333333333333333
1,1,71,1,3,0.5,"US","t_tradHealers",0.333333333333333
1,1,76,1,3,0.5,"US","t_scientists",1
1,1,76,1,3,0.5,"US","t_tradHealers",0.333333333333333
1,1,54,1,3,0,"US","t_scientists",1
1,1,54,1,3,0,"US","t_tradHealers",0.666666666666667
1,1,80,2,2,0.5,"US","t_scientists",0.666666666666667
1,1,80,2,2,0.5,"US","t_tradHealers",NA
1,1,70,1,3,1,"US","t_scientists",1
1,1,70,1,3,1,"US","t_tradHealers",0.333333333333333
1,1,79,1,3,1,"US","t_scientists",1
1,1,79,1,3,1,"US","t_tradHealers",NA
1,1,69,2,2,1,"US","t_scientists",0
1,1,69,2,2,1,"US","t_tradHealers",0
1,1,50,1,3,1,"US","t_scientists",0.666666666666667
