condition,labID,exclude,BL_adhere_1,BL_avoid_1,BL_avoid_2,BL_avoid_3,motiv_1,motiv_2,motiv_3,motiv_4,motiv_5,motiv_6,motiv_7,motiv_8,defy_1,defy_2,defy_3,defy_4,intention_1w,avoid_1w_1,avoid_1w_2,avoid_1w_3,intention_6m,avoid_6m_1,avoid_6m_2,avoid_6m_3,avoid_6m_4,avoid_6m_5,avoid_6m_6,avoid_6m_7,manip_1,r_manip_2,r_manip_3,age,gender,educ,essen_job,COUNID,month
3,2,0,7,7,7,7,4,7,6,7,3,4,7,7,2,5,2,4,7,7,7,7,24,24,24,24,24,24,24,24,6,4,4,22,2,3,2,GBR,April
2,2,0,7,7,7,7,1,7,1,7,1,1,5,7,1,5,4,1,7,7,7,7,24,24,24,24,24,24,24,24,6,2,5,55,2,5,2,GBR,April
1,2,0,6,7,6,7,7,7,6,5,5,7,6,7,1,6,4,2,7,7,7,7,18,10,18,10,11,4,0,24,5,2,4,22,1,4,2,GBR,April
2,2,0,7,1,1,1,5,7,6,7,2,5,7,7,1,2,2,1,7,1,1,1,16,21,16,24,20,16,24,21,6,3,6,19,2,4,2,GBR,April
1,2,0,7,7,7,6,6,7,6,7,5,2,7,7,1,5,2,7,7,7,7,7,24,24,24,24,24,24,24,24,4,4,6,20,2,3,2,GBR,April
1,2,0,6,7,7,6,6,6,6,6,3,6,7,7,2,2,1,1,7,7,7,6,24,24,24,24,24,10,24,10,6,3,6,22,2,3,2,GBR,April
3,2,0,7,7,7,7,7,6,7,6,5,5,5,7,1,4,1,1,7,7,7,7,24,24,24,24,24,24,24,24,6,6,6,20,2,3,2,GBR,April
1,2,0,7,7,7,7,6,5,6,7,5,3,5,7,2,2,2,2,7,7,7,7,24,24,24,24,24,24,24,24,3,3,3,27,2,5,2,GBR,April
3,2,0,7,7,7,7,6,7,6,7,1,1,7,7,1,3,2,1,7,7,7,7,24,24,24,24,24,24,24,24,6,5,5,25,1,4,2,GBR,April
1,2,0,7,7,7,7,6,6,7,7,5,6,6,6,2,2,5,2,7,7,7,7,24,24,24,24,24,24,24,24,3,3,4,21,2,3,2,GBR,April
1,2,0,6,7,7,7,5,6,6,6,2,5,6,6,1,1,1,1,7,7,7,7,24,24,24,24,24,24,24,24,5,6,6,63,2,5,2,GBR,April
2,2,0,7,1,1,1,2,4,5,6,3,3,4,7,2,5,2,2,7,7,7,7,20,22,18,22,24,24,24,24,2,4,6,20,1,4,2,GBR,April
3,2,0,7,7,7,5,6,6,7,5,7,6,6,7,2,4,2,4,7,7,7,6,24,24,24,24,24,24,24,24,2,2,5,21,2,3,2,GBR,April
3,2,0,7,7,7,7,7,7,7,7,4,7,7,7,1,1,1,1,7,7,7,7,24,24,24,24,24,24,24,24,3,7,7,21,1,4,2,GBR,April
3,2,0,7,7,7,7,1,7,6,6,1,1,7,7,1,5,1,4,7,7,7,7,10,20,10,24,24,8,24,12,5,6,6,20,2,4,2,GBR,April
3,2,0,7,7,7,7,6,7,5,7,2,3,6,7,2,6,1,4,7,7,7,7,24,24,14,24,24,24,24,18,6,7,3,20,2,3,2,GBR,April
2,2,0,7,7,7,7,7,6,7,6,7,7,7,7,2,5,3,6,7,7,7,7,24,24,24,24,24,24,24,24,2,2,6,20,2,3,2,GBR,April
1,2,0,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,4,7,7,7,7,24,24,24,24,24,24,24,24,7,3,7,18,2,3,2,GBR,April
3,2,0,7,7,7,7,6,7,6,7,5,7,7,7,1,1,2,1,7,7,7,7,24,24,24,12,24,12,24,24,3,3,5,20,2,3,2,GBR,April
2,2,0,6,7,5,3,5,6,6,6,5,6,6,6,1,1,1,2,6,7,6,6,24,24,24,24,24,24,24,24,2,2,3,21,2,4,1,GBR,April
1,2,0,6,1,2,3,6,6,6,6,1,6,5,7,1,2,2,6,6,7,6,3,15,24,10,24,15,4,10,24,6,7,5,20,1,3,1,GBR,April
3,2,0,6,6,6,6,5,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBR,April
1,2,0,7,7,7,7,4,6,3,5,5,4,5,7,1,2,2,2,1,7,7,7,20,24,24,22,24,24,24,21,6,5,6,20,2,3,2,GBR,April
2,2,0,7,7,7,7,6,7,7,7,6,7,7,7,1,5,3,1,7,7,7,7,24,24,24,24,24,24,24,24,4,1,5,25,1,4,2,GBR,April
2,2,0,7,7,7,7,6,7,7,7,5,6,7,7,5,5,4,4,7,7,7,7,24,24,24,24,24,24,24,24,6,2,3,22,1,3,2,GBR,April
2,2,0,7,7,7,7,6,7,6,7,5,6,7,7,1,1,1,1,7,7,7,7,24,24,12,24,24,24,24,24,1,1,1,NA,2,5,2,GBR,April
1,2,0,7,7,7,7,7,6,7,6,6,6,7,7,2,5,6,2,7,7,7,1,24,24,24,24,24,24,24,24,2,2,2,23,2,4,2,GBR,April
2,2,0,7,7,6,7,7,7,7,5,7,7,6,7,1,2,5,5,7,7,7,7,24,24,24,24,24,24,24,24,5,2,7,21,1,4,1,GBR,April
1,2,0,7,7,7,7,7,6,7,6,6,7,5,7,3,5,4,3,7,7,7,7,24,24,24,24,24,11,24,16,7,5,4,18,2,3,2,GBR,April
2,2,0,7,1,1,5,6,5,2,5,6,4,6,6,5,5,2,5,7,1,1,3,24,24,24,24,24,0,24,24,7,1,3,21,1,4,2,GBR,April
3,2,0,7,1,7,1,5,7,7,7,2,1,7,7,1,1,3,1,7,7,7,7,24,24,24,24,24,24,24,24,1,7,7,19,2,4,2,GBR,April
2,2,0,6,7,7,4,3,6,6,6,3,3,6,6,2,6,2,2,6,7,7,6,24,24,24,3,24,24,24,0,5,1,2,21,2,3,2,GBR,April
2,2,0,7,1,1,1,6,6,5,6,5,6,3,6,2,6,2,2,7,7,7,7,24,24,24,24,24,24,24,8,4,6,6,36,1,5,2,GBR,April
1,2,0,7,7,7,7,6,6,3,4,2,3,7,7,2,2,2,2,7,7,7,7,24,24,24,24,24,24,6,24,6,5,4,21,1,3,1,GBR,April
2,2,0,6,7,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBR,April
1,2,0,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBR,April
1,2,0,6,7,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBR,April
