id,Country,Edu,SES,Minority,age,sex,mobile
11284,cn,3,3,2,31,2,1
11286,cn,6,4,2,21,1,1
11289,cn,3,3,2,31,2,1
11296,cn,6,1,2,43,1,1
11305,cn,5,5,2,21,1,1
11307,cn,6,5,2,21,2,1
11309,cn,4,7,2,22,1,1
11319,cn,,,,29,2,1
11325,cn,5,7,2,31,1,0
11330,cn,5,4,1,32,2,1
11332,cn,,,,35,1,1
11333,cn,3,5,2,35,1,1
11338,cn,6,6,2,31,2,1
11340,cn,5,6,2,30,1,1
11343,cn,,,,41,2,0
11347,cn,6,4,2,25,1,0
11348,cn,6,5,2,32,2,1
11349,cn,6,5,2,45,2,1
11353,cn,,,,31,1,0
11360,cn,,,,22,2,1
11362,cn,4,4,2,32,2,1
11363,cn,,,,30,2,0
11371,cn,6,4,2,21,2,1
11378,cn,4,2,2,21,1,1
11381,cn,6,6,2,26,2,1
11384,cn,,,,21,1,1
11385,cn,3,1,2,36,1,1
11387,cn,6,3,2,36,2,1
11391,cn,5,10,2,23,1,1
11395,cn,6,6,2,24,2,1
11396,cn,7,7,2,44,2,0
11399,cn,6,6,2,20,2,1
11401,cn,7,8,2,26,1,1
11402,cn,,,,36,2,0
11410,cn,,,,23,2,1
11411,cn,7,6,2,23,2,0
11414,cn,5,5,2,30,1,1
11415,cn,4,7,2,36,1,0
11418,cn,5,5,2,42,2,1
11419,cn,7,7,2,22,1,1
11424,cn,,,,40,2,1
11425,cn,6,2,2,31,1,1
11427,cn,6,6,2,29,1,0
11429,cn,,,,26,1,1
11430,cn,,,,21,2,1
11432,cn,,,,18,1,1
11434,cn,6,8,2,40,2,1
11437,cn,7,10,1,32,2,1
11439,cn,4,8,2,20,1,1
11443,cn,4,4,1,18,1,1
11446,cn,,,,18,2,1
11448,cn,,,,18,2,1
11449,cn,6,7,2,34,2,0
11454,cn,,,,32,1,0
11457,cn,6,7,2,30,1,0
11459,cn,6,7,2,20,1,0
11460,cn,5,7,2,28,1,1
11466,cn,6,7,2,28,2,1
11467,cn,5,3,2,27,1,1
11472,cn,6,3,,28,1,1
11474,cn,,,,35,2,1
11477,cn,6,6,2,18,2,1
11478,cn,,,,28,2,1
11479,cn,4,4,2,18,2,1
11483,cn,6,6,1,20,1,1
11485,cn,6,6,2,48,2,1
11497,cn,7,6,2,40,2,1
11499,cn,6,3,2,23,1,1
11500,cn,7,7,2,31,1,1
11502,cn,4,4,,18,1,1
11505,cn,6,7,2,32,2,1
11506,cn,,,,22,1,1
11513,cn,6,7,2,38,1,1
11523,cn,,,,21,2,1
11529,cn,6,5,2,20,1,1
11531,cn,4,3,2,19,2,1
11532,cn,4,3,2,30,1,1
11536,cn,6,4,2,25,1,1
11538,cn,4,6,2,33,1,1
11539,cn,,,,18,1,1
11540,cn,6,5,2,24,2,1
11541,cn,,,,33,1,1
11546,cn,,,,19,1,1
11548,cn,6,4,2,26,2,1
11555,cn,6,8,2,31,2,0
11560,cn,6,7,2,57,2,1
11561,cn,,,,19,2,1
11563,cn,5,5,2,20,2,1
11571,cn,6,6,2,33,1,1
11572,cn,5,7,2,22,1,1
11574,cn,7,8,2,41,2,0
11575,cn,6,8,2,31,1,1
11579,cn,5,3,2,52,1,0
11592,cn,,,,31,2,1
11593,cn,6,6,2,23,2,1
11594,cn,6,7,2,37,1,1
11595,cn,6,7,2,29,2,1
11596,cn,6,5,2,35,2,1
13485,cn,,,,18,1,1
13636,cn,,,,41,1,1
14247,cn,,,,26,1,1
14426,cn,4,7,2,27,1,1
14436,cn,6,5,2,26,2,1
14676,cn,,,,29,1,1
14711,cn,1,1,1,18,1,1
14737,cn,,,,21,1,1
14739,cn,,,,33,1,1
14761,cn,,,,22,1,1
14780,cn,,,,30,1,1
14837,cn,,,,18,1,1
14861,cn,,,,18,2,1
14882,cn,6,4,2,25,1,1
14895,cn,6,7,2,26,2,0
14900,cn,4,5,2,25,2,1
